"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Brésil","BRA","Dépenses militaires (unités de devises locales courantes)","MS.MIL.XPND.CN","3.1E-05","4E-05","6.5E-05","0.00011","0.000192","0.00052","0.00069","0.00086","0.00111","0.00144","0.00204","0.00246","0.00307","0.00401","0.00526","0.00753","0.0119","0.0153","0.02104","0.03299","0.05154","0.10147","0.23549","0.52008","1.61","7.21","16.3","73.4","667","10745","273000","1178000","9753000","271760000","7040000000","13140000000","14145000000","15021000000","16662000000","17898000000","20753000000","25682000000","28224000000","25829000000","28608000000","33080000000","35686000000","39887000000","44841000000","51283000000","59819000000","61788000000","66379000000","70881000000","76874200000","81873500000","84509000000","93120100000","102938300000","102176700000","100953500000","103552900000","104367900000","",
"Brunéi Darussalam","BRN","Dépenses militaires (unités de devises locales courantes)","MS.MIL.XPND.CN","","","","","","","","","","","","","","","","","","","","","","","","","207690000","223870000","239870000","220000000","359000000","363000000","419000000","424000000","410000000","378000000","400000000","405000000","463000000","548000000","492000000","438000000","421000000","390000000","405000000","424000000","337000000","413750000","466250000","487000000","513000000","508750000","532750000","522500000","513900000","515600000","668725000","582992500","557372500","479842500","482517500","565690000","602000000","609150000","600825000","",
"Botswana","BWA","Dépenses militaires (unités de devises locales courantes)","MS.MIL.XPND.CN","","","","","","","","","","","","","","","","","","4757500","11847500","19850000","24750000","26075000","24250000","26825000","33900000","39950000","64475000","123950000","171425000","207127500","290700000","348252500","375502500","449895000","457555000","459837500","467250000","585975000","765100000","784200000","942400000","1228525000","1414575000","1490000000","1473750000","1450500000","1593000000","1881250000","2269250000","2362250000","2368750000","2484500000","2490500000","2573750000","3108250000","3885750000","5607750000","5413650000","5081050000","5533250000","5703884090.90909","5948011363.63636","6049767500","",
"République centrafricaine","CAF","Dépenses militaires (unités de devises locales courantes)","MS.MIL.XPND.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6093000000","6137000000","5421000000","5935000000","6496000000","6239000000","","","","","","7445200000","8729000000","7979000000","8121000000","","9160000000","14111000000","16995100000","25549000000","23534000000","21823000000","23676000000","18989000000","15794000000","15916000000","16157000000","16960000000","23894000000","25521000000","30793400000","26195200000","",
"Canada","CAN","Dépenses militaires (unités de devises locales courantes)","MS.MIL.XPND.CN","1651000000","1699750000","1786250000","1736500000","1787750000","1697500000","1739250000","1915250000","1936500000","1906000000","1974000000","2098000000","2211250000","2363250000","2747750000","3235500000","3531750000","3990250000","4527500000","4784250000","5547250000","6163750000","7423750000","8561750000","9518500000","10187250000","10810500000","11528750000","12180750000","12724500000","13318250000","12990750000","13040750000","13247500000","13079250000","12594750000","11747500000","11001000000","11494750000","12199000000","12325500000","12971750000","13332000000","13952000000","14749000000","15738500000","16799750000","18707750000","20638750000","21646000000","19898250000","21169750000","20435500000","19067500000","19748000000","22944000000","23580500000","28939250000","29459000000","29718000000","30954000000","31804250000","35003000000","",
"Suisse","CHE","Dépenses militaires (unités de devises locales courantes)","MS.MIL.XPND.CN","875000000","1038000000","1197000000","1290000000","1441000000","1502000000","1654000000","1676000000","1635000000","1789000000","1907000000","2114000000","2297000000","2421000000","2647000000","2664000000","3070000000","2948000000","2984000000","3234000000","3346000000","3557000000","3915000000","4085000000","4248000000","4833000000","4615000000","4504000000","4794000000","5042000000","5635000000","5760000000","5819000000","5336000000","5333000000","5493000000","5240000000","5077000000","5066000000","4727000000","4729000000","4664000000","4493000000","4404000000","4357000000","4339000000","4174000000","4231000000","4439000000","4413000000","4292000000","4417000000","4306000000","4665000000","4226000000","4351000000","4506000000","4557000000","4632300000","4991800000","5999900000","5679600000","5866200000","",
"Chili","CHL","Dépenses militaires (unités de devises locales courantes)","MS.MIL.XPND.CN","133000","169000","172000","248000","346000","531000","719000","926000","1195000","1551000","4380000","7955000","15536000","72066000","654000000","2390000000","7830000000","19900000000","32800000000","48900000000","69700000000","89400000000","110000000000","118000000000","144000000000","183000000000","215000000000","256000000000","245000000000","264000000000","314500000000","362500000000","423800000000","521800000000","616000000000","725300000000","785000000000","889200000000","972300000000","1039500000000","1135000000000","1202000000000","1226000000000","1429800000000","1638000000000","1735500000000","2044400000000","2101600000000","2425200000000","2188600000000","2497200000000","2750500000000","2659100000000","2738800000000","2910360000000","3029100000000","3247300000000","3479771751396.2","3556855509043.2","3646113512000","4188735728739.9","4649725142406.57","4867843195739.9","",
"Chine","CHN","Dépenses militaires (unités de devises locales courantes)","MS.MIL.XPND.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42362505000","47479813000","52181867000","67522117000","71219127000","85042142400","103433418000","118688251989.404","130146748385.872","141005427002.041","169488187633.252","184090164741.829","219851088539.276","250660511207.45","274334217744.946","313728560097.681","350634573000.663","410260384277.698","472705978263.256","547837144514.24","659926558289.466","714416818764.433","809532888744.33","916093363882.426","1016541251004.89","1118775896577.07","1223943320381.41","1320288106530.17","1423815484450.44","1538488817315.02","1660217293104.91","1780532612711.27","1844823702497.65","1964343311987.28","",
"Côte d'Ivoire","CIV","Dépenses militaires (unités de devises locales courantes)","MS.MIL.XPND.CN","","","2148000000","1976000000","2742000000","3162000000","3260000000","3619000000","3789000000","4200000000","4900000000","6600000000","8000000000","6400000000","9900000000","9834000000","12536000000","12640000000","19579000000","21854000000","25031000000","25000000000","28400000000","29057000000","30659000000","31253000000","33439000000","36900000000","38155000000","41368000000","39199000000","40671000000","41503000000","42088000000","46677000000","","52516000000","54588000000","","","","","","123800000000","132500000000","131800000000","139800000000","155100000000","165200000000","198346000000","192015000000","168612000000","208089035776.334","212439000000","257719000000","336932000000","357396000000","294517000000","337808000000","314045000000","349400000000","353700000000","378720000000","",
"Cameroun","CMR","Dépenses militaires (unités de devises locales courantes)","MS.MIL.XPND.CN","","","","","","","","","","","5622000000","5920500000","6274000000","7051500000","8334500000","10023500000","11582000000","13553500000","16120000000","18795000000","21100000000","32675000000","43250000000","49500000000","55600000000","52200000000","50357000000","49026000000","45979000000","46852500000","49165000000","50271000000","48649500000","47621000000","52476500000","56691000000","59819000000","69288000000","80968500000","89094500000","87597500000","91118000000","101500000000","109556000000","116808000000","117670000000","134345000000","142198000000","155203000000","162085000000","175355000000","163963000000","180955000000","194079000000","198522000000","209264000000","229727000000","238613000000","238910000000","247447000000","226332000000","245913000000","259844000000","",
